"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","318","And I login with test@test.com and testpassword","","Mon Jun 16 02:50:38 GMT 2025","passed","Mon Jun 16 02:50:39 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I login with test@test.com and testpassword"
"","301","And I login with test@test.com and testpassword","","Mon Jun 16 02:50:30 GMT 2025","passed","Mon Jun 16 02:50:30 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I login with test@test.com and testpassword"
"","682","And I add ""Add a sample task"" on 10/22/2022 as Completed","","Mon Jun 16 02:50:29 GMT 2025","passed","Mon Jun 16 02:50:29 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I add ""Add a sample task"" on 10/22/2022 as Completed"
"","1290","When I click on the text area of add todo input","","Mon Jun 16 02:50:39 GMT 2025","passed","Mon Jun 16 02:50:40 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","When I click on the text area of add todo input"
"","1","","","Mon Jun 16 02:50:38 GMT 2025","passed","Mon Jun 16 02:50:38 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list",""
"","0","","","Mon Jun 16 02:50:42 GMT 2025","passed","Mon Jun 16 02:50:42 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list",""
"","194","And I logout from the dashboard","","Mon Jun 16 02:50:42 GMT 2025","passed","Mon Jun 16 02:50:42 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I logout from the dashboard"
"","450","And I add ""Change status task"" on 04/14/2021 as Completed","","Mon Jun 16 02:50:36 GMT 2025","passed","Mon Jun 16 02:50:36 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I add ""Change status task"" on 04/14/2021 as Completed"
"","185","When I delete ""Delete a sample task"" by clicking on delete icon","","Mon Jun 16 02:50:34 GMT 2025","passed","Mon Jun 16 02:50:34 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","When I delete ""Delete a sample task"" by clicking on delete icon"
"","199","And I delete ""Change status task"" by clicking on delete icon","","Mon Jun 16 02:50:38 GMT 2025","passed","Mon Jun 16 02:50:38 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I delete ""Change status task"" by clicking on delete icon"
"","0","","","Mon Jun 16 02:50:34 GMT 2025","passed","Mon Jun 16 02:50:34 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page",""
"","425","And I add ""Delete a sample task"" on 09/19/2022 as Completed","","Mon Jun 16 02:50:32 GMT 2025","passed","Mon Jun 16 02:50:32 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I add ""Delete a sample task"" on 09/19/2022 as Completed"
"","251","And I logout from the dashboard","","Mon Jun 16 02:50:29 GMT 2025","passed","Mon Jun 16 02:50:30 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I logout from the dashboard"
"","725","When I login with shanu@test.com and SuperSecretPassword!","","Mon Jun 16 02:50:22 GMT 2025","passed","Mon Jun 16 02:50:23 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","When I login with shanu@test.com and SuperSecretPassword!"
"","180","Given I am on the login page","","Mon Jun 16 02:50:30 GMT 2025","passed","Mon Jun 16 02:50:30 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Given I am on the login page"
"","1003","Given I am on the login page","","Mon Jun 16 02:50:21 GMT 2025","passed","Mon Jun 16 02:50:22 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","Given I am on the login page"
"","216","And I logout from the dashboard","","Mon Jun 16 02:50:38 GMT 2025","passed","Mon Jun 16 02:50:38 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I logout from the dashboard"
"","165","Then I verify ""Change status task"" status is changed to Incomplete","","Mon Jun 16 02:50:37 GMT 2025","passed","Mon Jun 16 02:50:38 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Then I verify ""Change status task"" status is changed to Incomplete"
"","5739","Then I should see a toast message saying Login Successful !!","","Mon Jun 16 02:50:29 GMT 2025","passed","Mon Jun 16 02:50:34 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Then I should see a toast message saying Login Successful !!"
"","199","Then I verify ""Add a sample task"" on 10/22/2022 as Completed is added in the tasklist","","Mon Jun 16 02:50:29 GMT 2025","passed","Mon Jun 16 02:50:29 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","Then I verify ""Add a sample task"" on 10/22/2022 as Completed is added in the tasklist"
"","1240","When I click on the text area of add todo input","","Mon Jun 16 02:50:35 GMT 2025","passed","Mon Jun 16 02:50:36 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","When I click on the text area of add todo input"
"","396","And I add ""Update a sample task"" on 02/12/2021 as Completed","","Mon Jun 16 02:50:40 GMT 2025","passed","Mon Jun 16 02:50:40 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I add ""Update a sample task"" on 02/12/2021 as Completed"
"","233","And I logout from the dashboard","","Mon Jun 16 02:50:34 GMT 2025","passed","Mon Jun 16 02:50:34 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I logout from the dashboard"
"","765","Then I verify ""Change status task"" on 04/14/2021 as Completed is added in the tasklist","","Mon Jun 16 02:50:36 GMT 2025","passed","Mon Jun 16 02:50:37 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Then I verify ""Change status task"" on 04/14/2021 as Completed is added in the tasklist"
"","167","Then I verify ""Updated the task"" on 05/12/2021 as Incomplete is added in the tasklist","","Mon Jun 16 02:50:41 GMT 2025","passed","Mon Jun 16 02:50:42 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Then I verify ""Updated the task"" on 05/12/2021 as Incomplete is added in the tasklist"
"","725","And I login with test@test.com and testpassword","","Mon Jun 16 02:50:22 GMT 2025","passed","Mon Jun 16 02:50:23 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I login with test@test.com and testpassword"
"","184","Given I am on the login page","","Mon Jun 16 02:50:34 GMT 2025","passed","Mon Jun 16 02:50:34 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Given I am on the login page"
"","132","Then I verify ""Delete a sample task"" is deleted from the tasklist","","Mon Jun 16 02:50:34 GMT 2025","passed","Mon Jun 16 02:50:34 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Then I verify ""Delete a sample task"" is deleted from the tasklist"
"","142","Given I am on the login page","","Mon Jun 16 02:50:28 GMT 2025","passed","Mon Jun 16 02:50:28 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Given I am on the login page"
"","171","And I delete ""Updated the task"" by clicking on delete icon","","Mon Jun 16 02:50:42 GMT 2025","passed","Mon Jun 16 02:50:42 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I delete ""Updated the task"" by clicking on delete icon"
"","5802","When I click on the text area of add todo input","","Mon Jun 16 02:50:23 GMT 2025","passed","Mon Jun 16 02:50:29 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","When I click on the text area of add todo input"
"","0","","","Mon Jun 16 02:50:30 GMT 2025","passed","Mon Jun 16 02:50:30 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list",""
"","483","When I update ""Update a sample task"" to ""Updated the task"" on 05/12/2021 as Incomplete in the tasklist","","Mon Jun 16 02:50:41 GMT 2025","passed","Mon Jun 16 02:50:41 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","When I update ""Update a sample task"" to ""Updated the task"" on 05/12/2021 as Incomplete in the tasklist"
"","1710","When I click on the text area of add todo input","","Mon Jun 16 02:50:30 GMT 2025","passed","Mon Jun 16 02:50:32 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","When I click on the text area of add todo input"
"","452","When I login with test@test.com and testpassword","","Mon Jun 16 02:50:28 GMT 2025","passed","Mon Jun 16 02:50:29 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","When I login with test@test.com and testpassword"
"","393","And I login with test@test.com and testpassword","","Mon Jun 16 02:50:34 GMT 2025","passed","Mon Jun 16 02:50:35 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I login with test@test.com and testpassword"
"","748","Then I verify ""Update a sample task"" on 02/12/2021 as Completed is added in the tasklist","","Mon Jun 16 02:50:40 GMT 2025","passed","Mon Jun 16 02:50:41 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Then I verify ""Update a sample task"" on 02/12/2021 as Completed is added in the tasklist"
"","1200","Then I verify ""Delete a sample task"" on 09/19/2022 as Completed is added in the tasklist","","Mon Jun 16 02:50:32 GMT 2025","passed","Mon Jun 16 02:50:34 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Then I verify ""Delete a sample task"" on 09/19/2022 as Completed is added in the tasklist"
"","187","Given I am on the login page","","Mon Jun 16 02:50:38 GMT 2025","passed","Mon Jun 16 02:50:38 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Given I am on the login page"
"","5179","Then I should see a toast message saying Login Failed !!","","Mon Jun 16 02:50:23 GMT 2025","passed","Mon Jun 16 02:50:28 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Then I should see a toast message saying Login Failed !!"
"","0","","","Mon Jun 16 02:50:34 GMT 2025","passed","Mon Jun 16 02:50:34 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list",""
"","234","When I change ""Change status task"" status from Completed to Incomplete","","Mon Jun 16 02:50:37 GMT 2025","passed","Mon Jun 16 02:50:37 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","When I change ""Change status task"" status from Completed to Incomplete"
