"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","Given I am on the login page","","Wed Feb 19 05:38:40 GMT 2025","passed","Wed Feb 19 05:38:40 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Given I am on the login page"
"","6192","Then I should see a toast message saying Login Successful !!","","Wed Feb 19 05:38:36 GMT 2025","passed","Wed Feb 19 05:38:42 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Then I should see a toast message saying Login Successful !!"
"","1214","Then I verify ""Change status task"" on 04/14/2021 as Completed is added in the tasklist","","Wed Feb 19 05:38:38 GMT 2025","passed","Wed Feb 19 05:38:40 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Then I verify ""Change status task"" on 04/14/2021 as Completed is added in the tasklist"
"","492","And I login with test@test.com and testpassword","","Wed Feb 19 05:38:29 GMT 2025","passed","Wed Feb 19 05:38:30 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I login with test@test.com and testpassword"
"","730","Then I verify ""Delete a sample task"" on 09/19/2022 as Completed is added in the tasklist","","Wed Feb 19 05:38:34 GMT 2025","passed","Wed Feb 19 05:38:35 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Then I verify ""Delete a sample task"" on 09/19/2022 as Completed is added in the tasklist"
"","302","And I login with test@test.com and testpassword","","Wed Feb 19 05:38:33 GMT 2025","passed","Wed Feb 19 05:38:33 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I login with test@test.com and testpassword"
"","204","And I delete ""Change status task"" by clicking on delete icon","","Wed Feb 19 05:38:40 GMT 2025","passed","Wed Feb 19 05:38:40 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I delete ""Change status task"" by clicking on delete icon"
"","519","Given I am on the login page","","Wed Feb 19 05:38:29 GMT 2025","passed","Wed Feb 19 05:38:29 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","Given I am on the login page"
"","497","When I login with shanu@test.com and SuperSecretPassword!","","Wed Feb 19 05:38:29 GMT 2025","passed","Wed Feb 19 05:38:30 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","When I login with shanu@test.com and SuperSecretPassword!"
"","1206","When I click on the text area of add todo input","","Wed Feb 19 05:38:33 GMT 2025","passed","Wed Feb 19 05:38:34 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","When I click on the text area of add todo input"
"","126","Given I am on the login page","","Wed Feb 19 05:38:36 GMT 2025","passed","Wed Feb 19 05:38:36 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Given I am on the login page"
"","199","When I delete ""Delete a sample task"" by clicking on delete icon","","Wed Feb 19 05:38:35 GMT 2025","passed","Wed Feb 19 05:38:35 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","When I delete ""Delete a sample task"" by clicking on delete icon"
"","0","","","Wed Feb 19 05:38:32 GMT 2025","passed","Wed Feb 19 05:38:32 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list",""
"","1718","When I click on the text area of add todo input","","Wed Feb 19 05:38:30 GMT 2025","passed","Wed Feb 19 05:38:32 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","When I click on the text area of add todo input"
"","307","And I login with test@test.com and testpassword","","Wed Feb 19 05:38:40 GMT 2025","passed","Wed Feb 19 05:38:41 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I login with test@test.com and testpassword"
"","1218","When I click on the text area of add todo input","","Wed Feb 19 05:38:41 GMT 2025","passed","Wed Feb 19 05:38:42 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","When I click on the text area of add todo input"
"","0","","","Wed Feb 19 05:38:36 GMT 2025","passed","Wed Feb 19 05:38:36 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list",""
"","357","When I login with test@test.com and testpassword","","Wed Feb 19 05:38:35 GMT 2025","passed","Wed Feb 19 05:38:36 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","When I login with test@test.com and testpassword"
"","1200","Then I verify ""Updated the task"" on 05/12/2021 as Incomplete is added in the tasklist","","Wed Feb 19 05:38:44 GMT 2025","passed","Wed Feb 19 05:38:45 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Then I verify ""Updated the task"" on 05/12/2021 as Incomplete is added in the tasklist"
"","5182","Then I should see a toast message saying Login Failed !!","","Wed Feb 19 05:38:30 GMT 2025","passed","Wed Feb 19 05:38:35 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Then I should see a toast message saying Login Failed !!"
"","161","Then I verify ""Add a sample task"" on 10/22/2022 as Completed is added in the tasklist","","Wed Feb 19 05:38:32 GMT 2025","passed","Wed Feb 19 05:38:32 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","Then I verify ""Add a sample task"" on 10/22/2022 as Completed is added in the tasklist"
"","419","And I add ""Add a sample task"" on 10/22/2022 as Completed","","Wed Feb 19 05:38:32 GMT 2025","passed","Wed Feb 19 05:38:32 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I add ""Add a sample task"" on 10/22/2022 as Completed"
"","396","And I add ""Change status task"" on 04/14/2021 as Completed","","Wed Feb 19 05:38:38 GMT 2025","passed","Wed Feb 19 05:38:38 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I add ""Change status task"" on 04/14/2021 as Completed"
"","201","When I change ""Change status task"" status from Completed to Incomplete","","Wed Feb 19 05:38:40 GMT 2025","passed","Wed Feb 19 05:38:40 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","When I change ""Change status task"" status from Completed to Incomplete"
"","378","And I add ""Update a sample task"" on 02/12/2021 as Completed","","Wed Feb 19 05:38:42 GMT 2025","passed","Wed Feb 19 05:38:42 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I add ""Update a sample task"" on 02/12/2021 as Completed"
"","151","Then I verify ""Change status task"" status is changed to Incomplete","","Wed Feb 19 05:38:40 GMT 2025","passed","Wed Feb 19 05:38:40 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Then I verify ""Change status task"" status is changed to Incomplete"
"","0","","","Wed Feb 19 05:38:42 GMT 2025","passed","Wed Feb 19 05:38:42 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page",""
"","185","And I logout from the dashboard","","Wed Feb 19 05:38:45 GMT 2025","passed","Wed Feb 19 05:38:45 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I logout from the dashboard"
"","165","Given I am on the login page","","Wed Feb 19 05:38:32 GMT 2025","passed","Wed Feb 19 05:38:33 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Given I am on the login page"
"","0","","","Wed Feb 19 05:38:45 GMT 2025","passed","Wed Feb 19 05:38:45 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list",""
"","235","And I logout from the dashboard","","Wed Feb 19 05:38:32 GMT 2025","passed","Wed Feb 19 05:38:32 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I logout from the dashboard"
"","1723","When I click on the text area of add todo input","","Wed Feb 19 05:38:36 GMT 2025","passed","Wed Feb 19 05:38:38 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","When I click on the text area of add todo input"
"","166","And I delete ""Updated the task"" by clicking on delete icon","","Wed Feb 19 05:38:45 GMT 2025","passed","Wed Feb 19 05:38:45 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I delete ""Updated the task"" by clicking on delete icon"
"","348","And I login with test@test.com and testpassword","","Wed Feb 19 05:38:36 GMT 2025","passed","Wed Feb 19 05:38:36 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I login with test@test.com and testpassword"
"","212","And I logout from the dashboard","","Wed Feb 19 05:38:40 GMT 2025","passed","Wed Feb 19 05:38:40 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I logout from the dashboard"
"","174","Given I am on the login page","","Wed Feb 19 05:38:35 GMT 2025","passed","Wed Feb 19 05:38:35 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Given I am on the login page"
"","714","Then I verify ""Update a sample task"" on 02/12/2021 as Completed is added in the tasklist","","Wed Feb 19 05:38:42 GMT 2025","passed","Wed Feb 19 05:38:43 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Then I verify ""Update a sample task"" on 02/12/2021 as Completed is added in the tasklist"
"","0","","","Wed Feb 19 05:38:40 GMT 2025","passed","Wed Feb 19 05:38:40 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list",""
"","469","When I update ""Update a sample task"" to ""Updated the task"" on 05/12/2021 as Incomplete in the tasklist","","Wed Feb 19 05:38:43 GMT 2025","passed","Wed Feb 19 05:38:44 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","When I update ""Update a sample task"" to ""Updated the task"" on 05/12/2021 as Incomplete in the tasklist"
"","139","Then I verify ""Delete a sample task"" is deleted from the tasklist","","Wed Feb 19 05:38:35 GMT 2025","passed","Wed Feb 19 05:38:35 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Then I verify ""Delete a sample task"" is deleted from the tasklist"
"","362","And I add ""Delete a sample task"" on 09/19/2022 as Completed","","Wed Feb 19 05:38:34 GMT 2025","passed","Wed Feb 19 05:38:34 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I add ""Delete a sample task"" on 09/19/2022 as Completed"
"","240","And I logout from the dashboard","","Wed Feb 19 05:38:35 GMT 2025","passed","Wed Feb 19 05:38:36 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I logout from the dashboard"
