"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","177","Then I verify ""Add a sample task"" on 10/22/2022 as Completed is added in the tasklist","","Thu May 08 02:41:04 GMT 2025","passed","Thu May 08 02:41:04 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","Then I verify ""Add a sample task"" on 10/22/2022 as Completed is added in the tasklist"
"","5771","Then I should see a toast message saying Login Successful !!","","Thu May 08 02:41:03 GMT 2025","passed","Thu May 08 02:41:09 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Then I should see a toast message saying Login Successful !!"
"","767","Then I verify ""Delete a sample task"" on 09/19/2022 as Completed is added in the tasklist","","Thu May 08 02:41:07 GMT 2025","passed","Thu May 08 02:41:07 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","Then I verify ""Delete a sample task"" on 09/19/2022 as Completed is added in the tasklist"
"","1198","Then I verify ""Update a sample task"" on 02/12/2021 as Completed is added in the tasklist","","Thu May 08 02:41:15 GMT 2025","passed","Thu May 08 02:41:16 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Then I verify ""Update a sample task"" on 02/12/2021 as Completed is added in the tasklist"
"","1170","Then I verify ""Updated the task"" on 05/12/2021 as Incomplete is added in the tasklist","","Thu May 08 02:41:17 GMT 2025","failed","Thu May 08 02:41:18 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","Then I verify ""Updated the task"" on 05/12/2021 as Incomplete is added in the tasklist"
"","0","And I logout from the dashboard","","Thu May 08 02:41:18 GMT 2025","skipped","Thu May 08 02:41:18 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I logout from the dashboard"
"","0","And I delete ""Updated the task"" by clicking on delete icon","","Thu May 08 02:41:18 GMT 2025","skipped","Thu May 08 02:41:18 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list","And I delete ""Updated the task"" by clicking on delete icon"
"","836","And I login with test@test.com and testpassword","","Thu May 08 02:40:56 GMT 2025","passed","Thu May 08 02:40:57 GMT 2025","","This is for tasklist test scenario automation: Add task to the task list","This is for tasklist test scenario automation: Add task to the task list","And I login with test@test.com and testpassword"
"","5212","Then I should see a toast message saying Login Failed !!","","Thu May 08 02:40:57 GMT 2025","passed","Thu May 08 02:41:02 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","Then I should see a toast message saying Login Failed !!"
"","0","","","Thu May 08 02:41:09 GMT 2025","passed","Thu May 08 02:41:09 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page",""
"","1","","","Thu May 08 02:41:18 GMT 2025","passed","Thu May 08 02:41:18 GMT 2025","","This is for tasklist test scenario automation: Update task in the task list","This is for tasklist test scenario automation: Update task in the task list",""
"","397","And I add ""Delete a sample task"" on 09/19/2022 as Completed","","Thu May 08 02:41:06 GMT 2025","passed","Thu May 08 02:41:07 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I add ""Delete a sample task"" on 09/19/2022 as Completed"
"","449","When I login with test@test.com and testpassword","","Thu May 08 02:41:02 GMT 2025","passed","Thu May 08 02:41:03 GMT 2025","","This is for Login page test automation: Verify only login correct user credential can access dashboard page","This is for Login page test automation: Verify only login correct user credential can access dashboard page","When I login with test@test.com and testpassword"
"","386","And I add ""Change status task"" on 04/14/2021 as Completed","","Thu May 08 02:41:10 GMT 2025","passed","Thu May 08 02:41:11 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","And I add ""Change status task"" on 04/14/2021 as Completed"
"","135","Given I am on the login page","","Thu May 08 02:41:08 GMT 2025","passed","Thu May 08 02:41:08 GMT 2025","","This is for tasklist test scenario automation: Change task status in the task list","This is for tasklist test scenario automation: Change task status in the task list","Given I am on the login page"
"","325","And I login with test@test.com and testpassword","","Thu May 08 02:41:04 GMT 2025","passed","Thu May 08 02:41:05 GMT 2025","","This is for tasklist test scenario automation: Delete task to the task list","This is for tasklist test scenario automation: Delete task to the task list","And I login with test@test.com and testpassword"
